foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,0.0,5.0,0,0,transition_front_oscillation,100,466.7,,,,1,0
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,2.0,5.0,1,1,,8,92.8,0.38310610159167724,0.0045887225583909905,65.98861631763327,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,4.0,5.0,1,1,,58,463.6,0.6227504504833925,0.006157200156970038,66.98202492928296,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,6.0,5.0,0,0,transition_front_oscillation,100,467.1,,,,1,1
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,8.0,5.0,1,1,,6,67.8,1.0402518698834853,0.011480924271842639,70.20708400916861,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-4.0,9.0,1,1,,17,152.7,-0.2517040380471112,0.007972481909544363,69.42890498609106,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-2.0,9.0,1,1,,8,92.8,-0.033310028947735534,0.006610263824930214,69.125716705899,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,0.0,9.0,1,1,,10,97.0,0.1740085621640326,0.004423115725379856,68.07012869448738,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,2.0,9.0,0,0,transition_front_oscillation,100,441.1,,,,1,1
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,4.0,9.0,1,1,,28,217.2,0.6727771355184367,0.005455129334074236,66.86684593289903,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,6.0,9.0,0,0,diverged,100,432.1,,,,1,1
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,8.0,9.0,1,1,,6,62.3,1.0376410004893044,0.011815939309184903,70.36523096442284,,
CH10 (smoothed).dat,-4.0,5.0,1,1,,15,151.2,0.7834397460987358,0.007794294715761725,71.75214503407821,,
CH10 (smoothed).dat,-2.0,5.0,1,1,,10,99.1,1.0079933533176415,0.0075536858775260935,72.56545469426806,,
CH10 (smoothed).dat,0.0,5.0,1,1,,12,118.1,1.2272889968524536,0.007698401886897353,73.77992762615634,,
CH10 (smoothed).dat,2.0,5.0,1,1,,10,99.6,1.4385980658751027,0.008038374716406284,75.61349752213451,,
CH10 (smoothed).dat,4.0,5.0,1,1,,8,86.1,1.6345069822608218,0.008753685750465477,78.78954616667266,,
CH10 (smoothed).dat,6.0,5.0,1,1,,7,80.3,1.8036485053962876,0.010159798740222676,86.45424711395025,,
CH10 (smoothed).dat,8.0,5.0,0,0,diverged,100,436.9,,,,1,1
CH10 (smoothed).dat,-4.0,9.0,1,1,,21,195.2,0.789657977326062,0.007766392706952437,71.33248180958701,,
CH10 (smoothed).dat,-2.0,9.0,0,0,no_convergence,100,504.3,,,,1,1
CH10 (smoothed).dat,0.0,9.0,1,1,,25,207.0,1.2368014138681973,0.007353002574608229,73.04326222371586,,
CH10 (smoothed).dat,2.0,9.0,1,1,,12,111.3,1.4534588938247697,0.00743809014757904,74.48832846588485,,
CH10 (smoothed).dat,4.0,9.0,1,1,,34,256.4,1.6545123178256227,0.007660323051417645,76.81033580235729,,
CH10 (smoothed).dat,6.0,9.0,1,1,,46,351.3,1.8338033169501047,0.009081134108114937,82.34187032298478,,
CH10 (smoothed).dat,8.0,9.0,0,0,nan_lock,100,277.0,,,,1,1
DAE-11 AIRFOIL.dat,-4.0,5.0,1,1,,11,119.7,0.19986853957812928,0.007871747921508911,69.67363892262831,,
DAE-11 AIRFOIL.dat,-2.0,5.0,1,1,,23,182.8,0.4336386583072214,0.00705691158182412,69.47748316392745,,
DAE-11 AIRFOIL.dat,0.0,5.0,1,1,,22,182.6,0.6670673844598768,0.0066421058528615805,69.23163289274916,,
DAE-11 AIRFOIL.dat,2.0,5.0,1,1,,6,69.2,0.8975973257425661,0.006010609939297031,68.66322302104525,,
DAE-11 AIRFOIL.dat,4.0,5.0,1,1,,4,51.4,1.122772881209122,0.005831789115815457,67.29685220864896,,
DAE-11 AIRFOIL.dat,6.0,5.0,1,1,,8,79.0,1.340398129401786,0.007555686442196348,69.47330462766834,,
DAE-11 AIRFOIL.dat,8.0,5.0,1,1,,22,184.0,1.530839471050767,0.011049217423135296,74.7217680288203,,
DAE-11 AIRFOIL.dat,-4.0,9.0,1,1,,9,90.8,0.20056828119491335,0.008543628323081516,69.74868344838782,,
DAE-11 AIRFOIL.dat,-2.0,9.0,1,1,,7,78.5,0.43400004956328114,0.007144774637743745,69.50928808434276,,
DAE-11 AIRFOIL.dat,0.0,9.0,1,1,,7,75.1,0.6678356653269424,0.006397938893130478,69.12495142027423,,
DAE-11 AIRFOIL.dat,2.0,9.0,1,1,,8,74.8,0.8971000417769658,0.004751229526610014,66.32442722714993,,
DAE-11 AIRFOIL.dat,4.0,9.0,1,1,,10,95.2,1.127439169314944,0.005321912130495836,66.75924203806451,,
DAE-11 AIRFOIL.dat,6.0,9.0,1,1,,7,74.4,1.3515945399422464,0.00637645859152033,67.9868793077384,,
DAE-11 AIRFOIL.dat,8.0,9.0,1,1,,35,266.1,1.5575526844978704,0.008825349960402384,71.50902227814488,,
E186 (10.27%).dat,-4.0,5.0,1,1,,14,145.7,-0.527601327100973,0.008749406277000008,70.14440859917475,,
E186 (10.27%).dat,-2.0,5.0,0,0,transition_front_oscillation,100,448.6,,,,0,0
E186 (10.27%).dat,0.0,5.0,1,1,,32,256.8,-0.08908242720112057,0.006053869150193363,69.06374250992691,,
E186 (10.27%).dat,2.0,5.0,1,1,,5,61.3,0.11247955102596513,0.004362037286737768,67.39517920361186,,
E186 (10.27%).dat,4.0,5.0,1,1,,7,79.2,0.3806784949463985,0.005339185518115074,65.67894296252452,,
E186 (10.27%).dat,6.0,5.0,1,1,,9,92.5,0.633274533042897,0.008199755519088255,66.46192805330959,,
E186 (10.27%).dat,8.0,5.0,1,1,,46,340.3,0.8652583123531368,0.010470101526566085,67.60136321006104,,
