group,value,ncrithyst,n,full_conv_pct,aero_conv_pct
overall,all,0.0,10080,78.04563492063492,78.04563492063492
overall,all,0.1,10080,78.45238095238095,78.45238095238095
overall,all,0.2,10080,78.3829365079365,78.3829365079365
overall,all,0.4,10080,78.01587301587301,78.01587301587301
overall,all,0.8,10080,84.27579365079364,84.27579365079364
overall,all,1.2,10080,87.09325396825398,87.09325396825398
overall,all,1.6,10080,88.4126984126984,88.4126984126984
overall,all,2.0,10080,89.13690476190477,89.13690476190477
overall,all,3.0,10080,90.46626984126985,90.46626984126985
Re_band,high (>=3e6),0.0,5040,71.60714285714286,71.60714285714286
Re_band,high (>=3e6),0.1,5040,71.80555555555556,71.80555555555556
Re_band,high (>=3e6),0.2,5040,72.46031746031746,72.46031746031746
Re_band,high (>=3e6),0.4,5040,72.22222222222221,72.22222222222221
Re_band,high (>=3e6),0.8,5040,85.71428571428571,85.71428571428571
Re_band,high (>=3e6),1.2,5040,89.92063492063492,89.92063492063492
Re_band,high (>=3e6),1.6,5040,91.34920634920634,91.34920634920634
Re_band,high (>=3e6),2.0,5040,91.88492063492063,91.88492063492063
Re_band,high (>=3e6),3.0,5040,92.87698412698413,92.87698412698413
Re_band,low (<=5e5),0.0,3360,84.55357142857143,84.55357142857143
Re_band,low (<=5e5),0.1,3360,85.6547619047619,85.6547619047619
Re_band,low (<=5e5),0.2,3360,84.67261904761905,84.67261904761905
Re_band,low (<=5e5),0.4,3360,84.22619047619048,84.22619047619048
Re_band,low (<=5e5),0.8,3360,81.07142857142857,81.07142857142857
Re_band,low (<=5e5),1.2,3360,79.9702380952381,79.9702380952381
Re_band,low (<=5e5),1.6,3360,81.07142857142857,81.07142857142857
Re_band,low (<=5e5),2.0,3360,82.11309523809524,82.11309523809524
Re_band,low (<=5e5),3.0,3360,84.16666666666667,84.16666666666667
Re_band,mid (1e6),0.0,1680,84.3452380952381,84.3452380952381
Re_band,mid (1e6),0.1,1680,83.98809523809524,83.98809523809524
Re_band,mid (1e6),0.2,1680,83.57142857142857,83.57142857142857
Re_band,mid (1e6),0.4,1680,82.97619047619048,82.97619047619048
Re_band,mid (1e6),0.8,1680,86.36904761904762,86.36904761904762
Re_band,mid (1e6),1.2,1680,92.85714285714286,92.85714285714286
Re_band,mid (1e6),1.6,1680,94.28571428571428,94.28571428571428
Re_band,mid (1e6),2.0,1680,94.94047619047619,94.94047619047619
Re_band,mid (1e6),3.0,1680,95.83333333333334,95.83333333333334
alpha_band,high (8-12),0.0,4320,68.54166666666667,68.54166666666667
alpha_band,high (8-12),0.1,4320,69.32870370370371,69.32870370370371
alpha_band,high (8-12),0.2,4320,68.81944444444444,68.81944444444444
alpha_band,high (8-12),0.4,4320,68.77314814814814,68.77314814814814
alpha_band,high (8-12),0.8,4320,80.39351851851852,80.39351851851852
alpha_band,high (8-12),1.2,4320,86.06481481481481,86.06481481481481
alpha_band,high (8-12),1.6,4320,88.68055555555556,88.68055555555556
alpha_band,high (8-12),2.0,4320,89.67592592592592,89.67592592592592
alpha_band,high (8-12),3.0,4320,91.73611111111111,91.73611111111111
alpha_band,low (0-2),0.0,2880,88.09027777777779,88.09027777777779
alpha_band,low (0-2),0.1,2880,88.36805555555556,88.36805555555556
alpha_band,low (0-2),0.2,2880,88.78472222222223,88.78472222222223
alpha_band,low (0-2),0.4,2880,88.15972222222223,88.15972222222223
alpha_band,low (0-2),0.8,2880,89.09722222222223,89.09722222222223
alpha_band,low (0-2),1.2,2880,88.75,88.75
alpha_band,low (0-2),1.6,2880,88.61111111111111,88.61111111111111
alpha_band,low (0-2),2.0,2880,88.61111111111111,88.61111111111111
alpha_band,low (0-2),3.0,2880,89.02777777777777,89.02777777777777
alpha_band,mid (4-6),0.0,2880,82.25694444444444,82.25694444444444
alpha_band,mid (4-6),0.1,2880,82.22222222222221,82.22222222222221
alpha_band,mid (4-6),0.2,2880,82.32638888888889,82.32638888888889
alpha_band,mid (4-6),0.4,2880,81.73611111111111,81.73611111111111
alpha_band,mid (4-6),0.8,2880,85.27777777777777,85.27777777777777
alpha_band,mid (4-6),1.2,2880,86.97916666666666,86.97916666666666
alpha_band,mid (4-6),1.6,2880,87.8125,87.8125
alpha_band,mid (4-6),2.0,2880,88.85416666666667,88.85416666666667
alpha_band,mid (4-6),3.0,2880,90.0,90.0
