foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.2,1,,30,0.739929797410982,0.0101728785089663,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.4,1,,50,0.7403692958422458,0.0101048772612032,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.8,1,,48,0.7403692909991054,0.0101048771280431,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.0,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.1,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.2,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.4,1,,40,0.93057533053085,0.0147092204603274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.8,1,,49,0.929720552316826,0.0148525550291361,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.0,1,,37,0.930258940272772,0.0150012791275263,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.1,1,,37,0.930258940272772,0.0150012791275263,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.2,1,,33,0.9302591056387256,0.0150012574664453,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.4,1,,33,0.9302591385894295,0.0150012561695734,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.8,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,12.0,0.0,1,,57,0.9297840487873322,0.0157148230869273,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,12.0,0.1,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,12.0,0.2,1,,48,0.9297840575263748,0.0157148413035064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,12.0,0.4,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,12.0,0.8,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,6.0,0.0,1,,6,1.1206454203088083,0.020461394819258,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,6.0,0.1,1,,6,1.1206454203088083,0.020461394819258,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,6.0,0.2,1,,6,1.1206454203088083,0.020461394819258,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,6.0,0.4,1,,8,1.1206442622438784,0.020461758696459,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,6.0,0.8,1,,9,1.1178734218477575,0.0208859302625001,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,9.0,0.0,1,,17,1.1140457265048311,0.0221229275122735,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,9.0,0.1,1,,11,1.11404569675696,0.0221229428576012,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,9.0,0.2,1,,10,1.1122516022287614,0.0224052593940246,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,9.0,0.4,1,,15,1.1122516103848632,0.0224052577007872,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,9.0,0.8,1,,11,1.1122515584344468,0.0224052685016377,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,12.0,0.0,1,,13,1.1101126452082446,0.0243275623412274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,12.0,0.1,1,,13,1.1101126452082446,0.0243275623412274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,12.0,0.2,1,,13,1.1101126452082446,0.0243275623412274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,12.0,0.4,1,,13,1.1101126452082446,0.0243275623412274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,8.0,12.0,0.8,1,,11,1.1074574566401605,0.0255956184146492,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,6.0,0.0,1,,9,1.2593130374004975,0.033195099847046,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,6.0,0.1,1,,9,1.2593130374004975,0.033195099847046,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,6.0,0.2,1,,9,1.2593130374004975,0.033195099847046,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,6.0,0.4,1,,9,1.2593130374004975,0.033195099847046,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,6.0,0.8,1,,9,1.2593130374004975,0.033195099847046,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,9.0,0.0,1,,9,1.2500171430819216,0.0382783700570369,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,9.0,0.1,1,,9,1.2500171430819216,0.0382783700570369,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,10.0,9.0,0.2,1,,9,1.2500171430819216,0.0382783700570369,
