ncrithyst,count,mean,median
0.0,6030,17.31542288557214,12.0
0.1,6030,17.032669983416252,12.0
0.2,6030,17.027694859038142,12.0
0.4,6030,16.648756218905472,13.0
0.8,6030,14.459701492537313,11.0
1.2,6030,13.1636815920398,10.0
1.6,6030,12.618407960199004,9.0
2.0,6030,12.344610281923714,9.0
3.0,6030,12.133830845771143,9.0
